,,,,,,,,,,,,,
AÑO,Inflación Anual,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
2011,"12,67%","1,09%","0,93%","0,96%","1,00%","1,03%","1,14%","1,01%","1,02%","1,03%","0,91%","0,95%","0,92%"
2012,"13,13%","0,96%","0,99%","1,18%","1,13%","1,02%","0,99%","0,97%","1,03%","1,11%","1,03%","1,00%","0,97%"
2013,"14,76%","1,02%","1,06%","1,01%","0,96%","1,26%","1,35%","1,13%","1,13%","1,09%","1,14%","1,22%","1,49%"
2014,"28,27%","4,95%","5,12%","2,43%","1,72%","1,87%","1,51%","1,35%","1,63%","1,59%","1,23%","0,91%","0,95%"
2015,"17,19%","0,20%","0,25%","0,98%","0,74%","1,48%","1,32%","1,44%","1,33%","1,35%","0,93%","2,00%","3,90%"
2016,"34,59%","9,00%","5,00%","2,40%","1,50%","3,60%","2,90%","2,70%","0,40%","0,40%","0,60%","1,10%","0,80%"
2017,"24,80%","1,59%","2,07%","2,37%","2,66%","1,43%","1,19%","1,73%","1,40%","1,90%","1,51%","1,38%","3,14%"
2018,"47,65%","1,76%","2,42%","2,34%","2,74%","2,08%","3,74%","3,10%","3,89%","6,53%","5,39%","3,15%","2,57%"
2019,"53,83%","2,91%","3,77%","4,68%","3,44%","3,06%","2,72%","2,20%","3,95%","5,89%","3,29%","4,25%","3,74%"
2020,"36,15%","2,25%","2,01%","3,34%","1,50%","1,54%","2,24%","1,93%","2,70%","2,84%","3,76%","3,16%","4,01%"
2021,"50,93%","4,04%","3,57%","4,81%","4,08%","3,32%","3,17%","3,00%","2,47%","3,55%","3,52%","2,53%","3,84%"
2022,"94,79%","3,88%","4,69%","6,73%","6,05%","5,05%","5,30%","7,41%","6,97%","6,17%","6,35%","4,92%","5,12%"
2023,"108,83%","6,03%","6,63%","7,68%","8,40%",,,,,,,,